 LAST NAME      FIRST NAME     SSN             TEST1     TEST2     TEST3     TEST4     FINAL LETTER GRADE
 Alfalfa        Aloysius       123-45-6789     90.00     100.00    83.00     49.00      B-        
 Alfred         Francis        123-12-1234     97.00     96.00     97.00     48.00      B         
 Gerty          Gramma         567-89-0123     80.00     60.00     40.00     44.00      F         
 Android        Alexis         087-65-4321     23.00     36.00     45.00     47.00      F         
 Bumpkin        Fred           456-78-9012     78.00     88.00     77.00     45.00      C-        
 Rubble         Betty          234-56-7890     90.00     80.00     90.00     46.00      C         
 Noshow         Cecil          345-67-8901     81.00     65.00     49.00     43.00      F         
 Buff           Bif            632-79-9939     20.00     30.00     40.00     50.00      F         
 Airpump        Andrew         223-45-6789     75.00     90.00     100.00    83.00      B+        
 Backus         Jim            143-12-1234     85.00     97.00     96.00     97.00      A         
 Carnivore      Art            565-89-0123     71.00     80.00     60.00     40.00      D-        
 Dandy          Jim            087-75-4321     92.00     23.00     36.00     45.00      F         
 Elephant       Ima            456-71-9012     19.00     78.00     88.00     77.00      D         
 Franklin       Benny          234-56-2890     50.00     90.00     80.00     90.00      C+        
 George         Boy            345-67-3901     40.00     11.00     91.00     84.00      F         
 Heffalump      Harvey         632-79-9439     30.00     91.00     20.00     30.00      F         
